pair_probability,signal_efficiency,idler_efficiency,fusion_detector_efficiency,full_success_probability,partial_failure_probability,count_rejection_probability,full_success_hidden_error_probability,hidden_error_given_full_success,partial_retained_parity_error_probability,xx_flip_marginal,zz_flip_marginal,max_full_bell_coherence
0.03,0.99,0.95,0.85,0.35261160296524785,0.35294681704920894,0.2944415799855432,0.00031391699581071196,0.0008902628080609432,0.0001676070419804111,0.00031391699581071196,0.0001676070419804111,1.4268616527763182e-18
0.03,0.99,0.95,0.95,0.4399364784661742,0.4400935147654395,0.11997000676838632,0.00013062573917854383,0.0002969195453715652,7.851814963257687e-05,0.00013062573917854383,7.851814963257687e-05,2.6746586637534203e-18
0.03,0.99,0.95,0.99,0.477536717515654,0.47759373284685147,0.044869549637494455,2.8364314192911283e-05,5.939713775408585e-05,2.8507665598607273e-05,2.8364314192911283e-05,2.8507665598607273e-05,2.6238564938065983e-18
0.03,0.99,0.99,0.85,0.35377099329704703,0.3538382757410139,0.2923907309619391,6.303155471723876e-05,0.00017817049987564623,3.364122198337597e-05,6.303155471723876e-05,3.364122198337597e-05,2.2335262576602535e-18
0.03,0.99,0.99,0.95,0.4418027248343442,0.441834268704308,0.1163630064613479,2.6241659856986246e-05,5.939678137301138e-05,1.577193498177067e-05,2.6241659856986246e-05,1.577193498177067e-05,4.428417173162304e-18
0.03,0.99,0.99,0.99,0.4797448188026514,0.47975627500633417,0.04049890619101437,5.699313520102915e-06,1.1879885507314658e-05,5.72810184130064e-06,5.699313520102915e-06,5.72810184130064e-06,8.865796232811561e-19
0.05,0.9,0.85,0.85,0.28796598624640585,0.2899907917986817,0.4220432219549124,0.0011622801822315139,0.004036171762442032,0.0010124027761378458,0.0011622801822315139,0.0010124027761378458,3.0081687632612342e-18
0.05,0.9,0.85,0.95,0.35776980664553637,0.3593235702683925,0.28290662308607106,0.00048255947608762616,0.0013487987726301517,0.0007768818114279473,0.00048255947608762616,0.0007768818114279473,2.661824981791185e-18
0.05,0.9,0.85,0.99,0.3876933405766859,0.3889595449058466,0.22334711451746747,0.00010469000675666538,0.0002700330281684517,0.0006331021645802503,0.00010469000675666538,0.0006331021645802503,2.9301073364546334e-18
0.05,0.9,0.95,0.85,0.2910623129485357,0.2917457070839312,0.4171919799675331,0.0003924862596880671,0.0013484612820948232,0.00034169706769756036,0.0003924862596880671,0.00034169706769756036,2.440671296050663e-18
0.05,0.9,0.95,0.95,0.36292210352564797,0.36344805457260315,0.2736298419017489,0.00016326647748385898,0.00044986644764203736,0.0002629755234776128,0.00016326647748385898,0.0002629755234776128,2.4115248362365305e-18
0.05,0.9,0.95,0.99,0.3938436578625346,0.3942727720412193,0.21188357009624603,3.544737097716199e-05,9.000366076615705e-05,0.0002145570893423042,3.544737097716199e-05,0.0002145570893423042,7.091009708091672e-18
0.05,0.9,0.99,0.85,0.29230235695415047,0.29243971485211534,0.4152579281937342,7.890363501350495e-05,0.0002699384152618431,6.86789489824315e-05,7.890363501350495e-05,6.86789489824315e-05,1.901288168168718e-18
0.05,0.9,0.99,0.95,0.36499366186497334,0.3650994985170395,0.2699068396179871,3.284747925382302e-05,8.999465658111811e-05,5.291832603292967e-05,3.284747925382302e-05,5.291832603292967e-05,9.141650721388595e-18
0.05,0.9,0.99,0.99,0.3963199744106841,0.3964063651026027,0.20727366048671314,7.133817515475264e-06,1.8000146286048376e-05,4.31953459591581e-05,7.133817515475264e-06,4.31953459591581e-05,2.140184021454686e-18
0.05,0.95,0.85,0.85,0.32003320685310604,0.3218774038232952,0.3580893893235988,0.0013629278172856167,0.004258707496910453,0.0009220984850944166,0.0013629278172856167,0.0009220984850944166,1.9339577342633737e-18
